user,total_amount,liquid_amount,vested_amount
0x191c896565f3b069bf970d886bca602ce586d7f7,1553000000000000000000,248000000000000000000,1305000000000000000000
0xbc7af02053f376a9b3958065f9fa1169e11d6bca,1543000000000000000000,246000000000000000000,1297000000000000000000
0x0263e43c0de253a0fe354b60d35d2855c514a887,1532000000000000000000,245000000000000000000,1287000000000000000000
0x8425176e0b0e1d2cb0220a7eb7702f215440edf3,1548000000000000000000,247000000000000000000,1301000000000000000000
0x69b2a220d1d0948d34da622051be636ddedd17c9,1535000000000000000000,245000000000000000000,1290000000000000000000
0x91a85b2396fd595b3fdfbb5ddf5a40b23e36237c,1538000000000000000000,246000000000000000000,1292000000000000000000
0x54158d6d8e7fb38a07a3c432fd09a6077ea7c36a,1526000000000000000000,244000000000000000000,1282000000000000000000
0x30961f2bb9cd13b0291d3c783a9a89d1e01b7563,1512000000000000000000,241000000000000000000,1271000000000000000000
0xe5bce1f693a9ce6c0cf3a775cdd5197eec05cd0a,1521000000000000000000,243000000000000000000,1278000000000000000000
0x6e42cce8676cf407d676c1eebe618483fae3f1e5,1497000000000000000000,239000000000000000000,1258000000000000000000
0x5ae1283093f33c5f4c1e3a4f0c97d25ec78dc51d,1507000000000000000000,241000000000000000000,1266000000000000000000
0x0deb845de6dd1399cd704ac10e07e8baa8b80472,1497000000000000000000,239000000000000000000,1258000000000000000000
0x8e07ab8fc9e5f2613b17a5e5069673d522d0207a,1502000000000000000000,240000000000000000000,1262000000000000000000
0x5c14c517991c2bd72c3495efed8c9aefdbd8b8e1,1506000000000000000000,240000000000000000000,1266000000000000000000
0x9deb607b7e92096df55b02aa563e82f612fd0def,1505000000000000000000,240000000000000000000,1265000000000000000000
0x84dacbe3bd745120da77ca86021318e13ae7eea1,1486000000000000000000,237000000000000000000,1249000000000000000000
0x57eea05d85280e800c9e54b7a503d190c9612bf1,1482000000000000000000,237000000000000000000,1245000000000000000000
0x1a78e83842e1df0a3635987187da8cfd9840626d,1482000000000000000000,237000000000000000000,1245000000000000000000
0x0e93cf5ed2965b31d62533aea091252832eb3727,1487000000000000000000,237000000000000000000,1250000000000000000000
0xa2683c71becb07e21155313f46f6ba00986414c3,1495000000000000000000,239000000000000000000,1256000000000000000000
0xabf4509e104d380a875e6a8b6701de6b3a7d5e23,1491000000000000000000,238000000000000000000,1253000000000000000000
0x79172b1316d18fcd29fb6939c9818a7e517d5b26,1492000000000000000000,238000000000000000000,1254000000000000000000
0xc68a9902bc07ed5b49b78b69165a7059e947af18,1477000000000000000000,236000000000000000000,1241000000000000000000
0xddbdedce05624c9da8126a7d171b340ae8d85d6e,1465000000000000000000,234000000000000000000,1231000000000000000000
0x0577ba0a9145afa894becc8f2387711fd48a6e04,1480000000000000000000,236000000000000000000,1244000000000000000000
0x6b852c8136f828edbc8976c6909adc74da992fb2,1444000000000000000000,231000000000000000000,1213000000000000000000
0xe7430174827a5b884f56c96de7871b76226a23bb,1448000000000000000000,231000000000000000000,1217000000000000000000
0x0ca9146386064720883db1fd213e2ba0cc3edc00,1459000000000000000000,233000000000000000000,1226000000000000000000
0x0b099121c338d9ef84c398223296cb025ff5ca42,1462000000000000000000,233000000000000000000,1229000000000000000000
